date,title,content,heart,interest,view,price,temperature,seller,sold,image,region,url
12/12/2025,스토케트립트랩뉴본세트재당근,"스토케 트립트랩 뉴본 세트입니다
재당근이라 저렴하게 내놓았어요
이유식 들어가기 전까지 알차게 잘썼고,
수유할때도 눕혀서 해서 편하게 이용하였습니다:)",6,2,112,50000,45.8,Delphine,판매완료,2,경기 남양주시 별내동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-%EC%9E%AC%EB%8B%B9%EA%B7%BC-gk3bov6ht7sd/
15/03/2026,스토케트립트랩사가엔젤릭뉴본커버2ea(미사용제품)," 스토케 트립트랩 사가 엔젤릭 뉴본커버 2개입니다.
빈티지 스타일의 패턴이 특징입니다. 개봉만 하고 
구매했던 것도 잊어버리는 바람에 미사용한 미사용제품입니다ㅠㅠ

 아래는 두 개의 가격이며, 한 개의 가격은 아래의 가격의 반값(25,000원)입니다.",3,4,74,50000,38.1,우두,판매완료,1,경기 안성시 공도읍,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EC%82%AC%EA%B0%80-%EC%97%94%EC%A0%A4%EB%A6%AD-%EB%89%B4%EB%B3%B8%EC%BB%A4%EB%B2%84-2ea-%EB%AF%B8%EC%82%AC%EC%9A%A9%EC%A0%9C%ED%92%88-4rouabhaorse/
15/12/2025,스토케트립트랩뉴본시트,"스토케 트립트랩 뉴본 시트입니다
색상은 회색이고, 상태는 양호합니다
- 신생아부터 사용 가능합니다
- 트립트랩에 장착하여 아기를 편안하게 앉힐 수 있습니다
- 안전벨트가 있어 안전하게 사용할 수 있습니다
아기가 편안함을 느끼고, 안전하게 사용할 수 있도록 설계되었습니다 당근으로 구입했는데 저희 아기는 싫어하네요 
아이가 있어 가지러 와주셔야 해요",1,8,159,57000,49.9,햅삐해피,판매완료,2,전남 나주시 금천면,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%8B%9C%ED%8A%B8-r3zk3z84ppom/
20/12/2025,스토케트립트랩뉴본세트그레이,"스토케 트립트랩 뉴본 세트입니다
색상은 그레이이고, 상태는 사진과 같습니다
아기가 편안하게 사용할 수 있도록 설계되었고, 트립트랩 의자에 장착하여 신생아부터 사용할 수 있습니다

1년도 안썼어요
싸개 세탁 한번 했습니다
위에 모빌다는 막대기를 잃어버렸고
하단에 미세한 얼룩이있어 싸게내놔요
필요하신분들 좋은가격에 가져가셔요오",3,0,139,60000,36.7,뿌린,판매완료,3,서울시 용산구 효창동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-%EA%B7%B8%EB%A0%88%EC%9D%B4-5px4semy4fpv/
30/08/2025,스토케트립트랩뉴본(재당근),"재당근이라 사용감 있어 저렴하게 판매합니다.
사용 기간이 짧아서 부담 없이 구매하시기 좋아요 :)
예민하신 분들은 참고 부탁드려요 ^^

기존 커버가 자꾸 벗겨져서 따로 어텀31 트립트랩 커버를 구매해 사용했어요.
커버가 있으면 지저분해질 때 커버만 세탁하면 돼서 훨씬 편하더라고요.
👉 커버도 함께 드립니다!

문고리 거래 원해요 :)",1,0,116,60000,58.8,쑥이엄마,판매완료,5,경기 양주시 덕계동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%9E%AC%EB%8B%B9%EA%B7%BC-5oftpn6mqnv2/
31/01/2026,스토케트립트랩뉴본세트그레이+모빌거치대,"스토케 트립트랩 뉴본 세트 그레이 + 모빌 거치대 
스토케 교체커버 구매했던 것 이염 살짝 있지만 
원하시는 분 같이 드려요.




 ",4,2,139,60000,46.9,어린이보호,판매완료,5,경기 남양주시 별내동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-%EA%B7%B8%EB%A0%88%EC%9D%B4-%EB%AA%A8%EB%B9%8C%EA%B1%B0%EC%B9%98%EB%8C%80-tfdmfizm25jw/
11/03/2026,스토케트립트랩뉴본세트그레이,"스토케 트립트랩 뉴본 세트입니다
아이를 편안하게 감싸주는 디자인으로 안정감을 줍니다
- 인체공학적 디자인으로 아이의 척추를 지지해줍니다
- 분리 가능한 시트로 세탁이 용이합니다
그레이 색상으로 은은하고 고급스러운 느낌을 줍니다

첫째 둘째 사용하고 내놓아요
사진에 보시다시피 깨끗한편입니다.
세탁한번하셔서 사용하심 될듯합니다.
이사로 인해 이번 주말 내로 저렴히 급처합니다.",5,2,106,60000,47.4,학중,판매완료,2,경기 안성시 공도읍,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-%EA%B7%B8%EB%A0%88%EC%9D%B4-xdy9jj4sh4yt/
27/12/2025,스토케트립트랩뉴본세트(재당근),"스토케 트립트랩 뉴본세트 판매합니다 (재당근)

- 25년 5월 즈음 당근해와서 7월부터 사용
- 모빌걸이대, 연장글라이더 포함
- 누워서 수유, 토 한 적 없음

오염된 부분 없이 깨끗한 편이나
중고 특성 상 사용 감은 있을 수 있으므로
예민하신 분들은 피해주세요. (환불 불가)

2번째 사진 보면 살짝 유격이 있으나 
사용하는데 문제 없습니다.
(처음 데려올 때부터 그랬어요 ㅎ)
이것 때문에 저렴하게 내놓아요.

육아 중이라 문고리 거래만 가능합니다!",3,3,144,65000,44.6,Zl붕,판매완료,2,서울시 서초구 서초동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8%EC%84%B8%ED%8A%B8-%EC%9E%AC%EB%8B%B9%EA%B7%BC-1c5udcv4ocn9/
02/12/2025,스토케트립트랩뉴본세트그레이,"스토케 트립트랩 뉴본 세트 그레이 색상입니다
모빌대랑 연장글라이더 없어요
재당근입니다

아기가 눕는 거 별로 안 좋아해서 잘 안썼어요",2,1,131,68000,41.6,깜순이짱,판매완료,1,강원 삼척시 정상동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-%EC%84%B8%ED%8A%B8-%EA%B7%B8%EB%A0%88%EC%9D%B4-3c45y534km24/
15/12/2025,스토케트립트랩뉴본,"스토케 트립트랩 뉴본 세트 판매합니다!
지인에게 물려받아 사용했습니다~ 
누워만 있는 거여서 육안상 큰 오염은 없어보이는데 사진 참고해주세요
모빌대는 없습니다
세탁해서 드립니다 
행당역 인근 아파트 비대면 문고리거래 하겠습니다 ",5,6,162,70000,44.7,qinglang,판매완료,3,서울시 성동구 행당동,https://www.daangn.com/kr/buy-sell/%EC%8A%A4%ED%86%A0%EC%BC%80-%ED%8A%B8%EB%A6%BD%ED%8A%B8%EB%9E%A9-%EB%89%B4%EB%B3%B8-qw4y44m3mxj3/
